Article_Name,ingredient_name,usage_amount,ingredient_name_02,usage_amount_02,ingredient_name_03,usage_amount_03,ingredient_name_04,usage_amount_04,ingredient_name_05,usage_amount_05
j) PIZZA SANDWICH ALLA GREK,DJATH I BARDHE DELE LP,0.08,,,,,,,,
j) TORTELLINI SPINAQ GORGONZOLA,GRANA PADANA LP ,0.05,GORGONZOLA LP,0.05,,,,,,
k) PIZZA SANDWICH ME CRUDO,PROSHUTE CRUDO LP,0.06,MOCARELA BLLOK LP ,0.125,,,,,,
k) SALLAT CAPRESE,MOCARELA BLLOK LP ,0.125,,,,,,,,
k) SALLATE ME BURRATA,BURRATA LP,1,,,,,,,,
l) KAFE AMERIKANE,Kafe LP,0.01,,,,,,,,
l) KARKALECA ZGARE,KARKALECA OLA LP,2,,,,,,,,
l) PIZZA SANDWICH ME BURRATA,BURRATA LP,0.5,,,,,,,,
l) SALCICE PAKETE,SALCICE TE VILES LP,0.12,,,,,,,,
m) DJATH FURRE,DJATH I BARDHE DELE LP,0.15,,,,,,,,
m) FRAPPUCINO CHOCOLATE,Kafe LP,0.01,,,,,,,,
m) FRAPUCINO CARAMEL,Kafe LP,0.01,,,,,,,,
m) HEINEKEN,HEINEKEN LP,1,,,,,,,,
m) PIZZA SANDWICH MORTADELLE,MORTADELA LP,0.08,MOCARELA BLLOK LP ,0.125,,,,,,
m) RAVIOLI 4 DJATHRA,MOCARELA BLLOK LP ,0.06,GORGONZOLA LP,0.03,GRANA PADANA LP ,0.05,,,,
n) DJATH FURRE SUSAM,DJATH I BARDHE DELE LP,0.15,,,,,,,,
n) EXTRA SALCICE,SALCICE TE VILES LP,0.07,,,,,,,,
n) FRAPE,Kafe LP,0.01,,,,,,,,
n) KACKAVALL SAGANAKI,KACKAVALL SKUQJE LP,0.16,,,,,,,,
n) KORCA  0.5 L,KORCA  0.5 LP,1,,,,,,,,
n) PIZZA MARGARITA,MOCARELA BLLOK LP ,0.15,,,,,,,,
o) ERDINGER,ERDINGER LP,1,,,,,,,,
